company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,roce_calculated,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow,cfo_quality_score,capex_intensity,fcf_conversion,capital_allocation_pattern,cluster_label
ABB,,21.183646554566437,25.502802505769868,,,,140.63636363636363,,,,,,,0
ADANIENSOL,,2.665278971899181,29.82940404543192,,,,2.0710021991831606,,,,,,,0
ADANIENT,,5.948529483633235,13.579185033867326,,,,3.347710843373494,,,,,,,0
ADANIGREEN,,17.881654609534408,75.12520868113522,,,,1.633393829401089,,,,,,,0
ADANIPORTS,,34.25447386000071,60.34876771086032,,,,6.624855268236202,,,,,,,0
ADANIPOWER,,23.213174748398902,38.36230558096981,,,,6.4806800618238025,,,,,,,0
AMBUJACEM,,11.78386605783866,17.72298325722983,,,,19.536912751677853,,,,,,,0
APOLLOHOSP,,5.979774292833065,13.410523230250623,,,,5.890557939914163,,,,,,,0
ASIANPAINT,,13.295627458298643,19.181189170566448,,,,29.431718061674008,,,,,,,0
ATGL,,13.84169084127642,23.891421467053465,,,,10.87735849056604,,,,,,,0
BAJAJ-AUTO,,15.073619631901842,18.69734151329244,,,,55.75,,,,,,,0
AXISBANK,,21.86824024730853,9061.0,,,,1.7654795388820663,,,,,,,0
BAJAJFINSV,,13.083801271948234,36.01926138298631,,,,2.108633160237389,,,,,,,0
BAJAJHLDNG,,431.9676860934795,89.67109059434507,,,,777.0,,,,,,,1
BAJFINANCE,,24.709773760015413,21417.0,,,,653.2068965517242,,,,,,,4
BANKBARODA,,16.226317824461916,3526.0,,,,1.951484857394884,,,,,,,0
BHARTIARTL,,8.886144663553686,51.92567437193687,,,,3.600294327506244,,,,,,,0
BEL,,21.047508690614137,26.45654692931634,,,,815.4285714285714,,,,,,,4
BHEL,,1.7226028722951263,4.064568575078388,,,,1.407506702412869,,,,,,,0
BOSCHLTD,,12.151603498542274,12.921282798833818,,,,170.46153846153845,,,,,,,0
BPCL,,3.082129528434631,5.9591428205951065,,,,7.295054945054945,,,,,,,0
BRITANNIA,,12.346323358849457,18.186035722570168,,,,25.917355371900825,,,,,,,0
CANBK,,13.879489413025995,-8985.0,,,,1.580114496282161,,,,,,,0
CHOLAFIN,,17.118478357479336,5175.0,,,,26.016129032258064,,,,,,,0
CIPLA,,18.48337719135688,6906.0,,,,24.42214111922141,,,,,,,0
COALINDIA,,24.47836497349068,46610.0,,,,11.5060773480663,,,,,,,4
DABUR,,14.139953402426286,18.807744838113603,,,,15.401315789473683,,,,,,,0
DIVISLAB,,21.31413977246343,29.69584397492454,,,,852.6666666666666,,,,,,,4
DLF,,57.19182973860877,26.9247250392801,,,,4.883419689119171,,,,,,,0
DMART,,4.754164263366718,7.823396780451995,,,,69.9375,,,,,,,0
DRREDDY,,17.44532325722886,26.61308399244292,,,,30.11231884057971,,,,,,,0
EICHERMOT,,24.97220759464045,26.165818266924116,,,,84.37735849056604,,,,,,,0
GAIL,,8.48097824090064,12.333830586194988,,,,22.89768076398363,,,,,,,0
GODREJCP,,-3.2009609949123803,21.17015262860373,,,,8.837758112094395,,,,,,,0
GRASIM,,6.339887394614779,20.060386825753376,,,,2.571615557217652,,,,,,,0
HAL,,27.193939783013416,31.950953328625538,,,,311.0625,,,,,,,0
HAVELLS,,6.770808144314939,9.711273395560283,,,,43.65217391304348,,,,,,,0
HCLTECH,,14.816838380684777,21.80160960210913,,,,38.14719271623672,,,,,,,0
HDFCBANK,,21.934095592392,-57587.0,,,,1.4108562701603238,,,,,,,2
HDFCLIFE,,1.7336164807684673,725.0,,,,194.64591439688715,,,,,,,0
HEROMOTOCO,,10.307247244251585,5561.0,,,,37.17653390742734,,,,,,,0
HINDALCO,,5.574552044924961,27931.0,,,,150.83615384615385,,,,,,,4
HINDUNILVR,,17.16697786501971,14759.0,,,,32.78713210130048,,,,,,,0
ICICIBANK,,29.031132477804057,-31575.0,,,,1.2347839751711405,,,,,,,2
ICICIGI,,10.806403158662718,3363.0,,,,-1661.5,,,,,,,3
ICICIPRULI,,1.255607693497654,321.0,,,,82.79849946409432,,,,,,,0
INDUSINDBK,,16.57415721165619,1323.0,,,,2.1115429051570214,,,,,,,0
INFY,,17.30567292546941,23.842413180988576,,,,89.96462264150944,,,,,,,0
IOC,,1.4325955205946277,4.324444998916591,,,,3.56732748347958,,,,,,,0
IRCTC,,26.93602693602693,33.78226711560045,,,,94.0625,,,,,,,0
IRFC,,24.29930860159096,99.46472381235596,,,,1.3231469119319588,,,,,,,0
ITC,,27.722100219604712,35.456178878019564,,,,493.3333333333333,,,,,,,0
JINDALSTEL,,10.116155860772906,20.646154461304704,,,,7.986852281515855,,,,,,,0
JIOFIN,,81.65650406504065,77.79471544715447,,,,,,,,,,,0
JSWENERGY,,17.41415557112824,47.14435879467414,,,,2.583773403744599,,,,,,,0
JSWSTEEL,,1.945100250184996,13.201075912940318,,,,2.6823389021479715,,,,,,,0
KOTAKBANK,,35.173996534120185,-14146.0,,,,1.167887233407562,,,,,,,0
LICI,,4.627577541049831,2.8848149660866014,,,,,,,,,,,0
LODHA,,18.498600265212907,28.08310004420215,,,,7.416342412451362,,,,,,,0
LT,,6.760688376220796,12.899728316609524,,,,3.271231422505308,,,,,,,0
LTIM,,12.319211398098522,17.32877265749145,,,,22.978571428571428,,,,,,,0
M&M,,8.916808894189577,18.64654232896712,,,,3.293861242281148,,,,,,,0
MARUTI,,9.655471617554902,13.611728977433147,,,,93.23584905660375,,,,,,,0
MOTHERSON,,3.769358761039294,9.575615732021722,,,,5.081999029597283,,,,,,,0
NAUKRI,,20.698722764838468,28.211870773854248,,,,34.13636363636363,,,,,,,0
NESTLEIND,,16.794703325583747,23.88557565955726,,,,41.823008849557525,,,,,,,0
NHPC,,35.26315789473684,51.75438596491229,,,,6.984679665738161,,,,,,,0
NTPC,,12.12854775891378,28.184106900781096,,,,4.199759519038076,,,,,,,0
ONGC,,6.424834596944863,13.036402335530612,,,,6.81940914866582,,,,,,,0
PFC,,28.77985165865189,36.43736245822806,,,,0.581481180391838,,,,,,,0
PIDILITIND,,15.29338810944888,22.88194713588094,,,,60.24489795918368,,,,,,,0
PNB,,12.516576821728124,,,,,,,,,,,,0
POWERGRID,,34.296690823365054,85.64349951977648,,,,4.431330472103005,,,,,,,0
RECLTD,,28.908525927364536,98.77646144882502,,,,1.5856586126266563,,,,,,,0
RELIANCE,,8.505827600075758,17.4634351877664,,,,6.874471204188482,,,,,,,0
SBILIFE,,1.8535745312247736,0.7741806524028815,,,,,,,,,,,0
SBIN,,15.855416555762575,-12.60367314346553,,,,-0.2083744050468921,,,,,,,0
SHREECEM,,8.751641248358752,21.34127865872134,,,,18.45414847161572,,,,,,,0
SHRIRAMFIN,,23.71563315271925,28.637367047963075,,,,0.6629500580720092,,,,,,,0
SIEMENS,,12.221223021582734,13.9568345323741,17.698769290877124,19.85162445638271,0.0181676108614963,51.73333333333333,0.8790861298865568,1168.0,0.6144223693892568,0.3005988023952096,0.4297277409860191,Healthy Growth,0
SUNPHARMA,,22.09787707720442,27.94585354218017,,,,58.82426778242678,,,,,,,0
TATACONSUM,,7.1792354421059095,15.315702276492608,,,,9.313432835820896,,,,,,,0
TATAMOTORS,,7.684389209677748,13.747412290568809,,,,6.842777966293406,,,,,,,0
TATAPOWER,,6.935059616626502,17.415615303438393,,,,2.430644097603869,,,,,,,0
TATASTEEL,,1.1433768302173637,11.453676723435832,,,,3.423586691912361,,,,,,,0
TCS,,19.440499519997463,26.81310049904396,,,,85.02012578616352,,,,,,,0
TECHM,,7.193764768656148,11.858754478237673,,,,21.09491525423729,,,,,,,0
TITAN,,5.955047926842704,9.620257813360755,,,,6.2369047619047615,,,,,,,0
TORNTPHARM,,16.474960184038224,32.20668908157848,,,,13.18840579710145,,,,,,,0
TRENT,,12.039933444259567,15.66722129783694,,,,12.010204081632653,,,,,,,0
TVSMOTOR,,4.882712307046589,14.433614699435712,,,,2.999031007751938,,,,,,,0
INDIGO,,7.942361002144463,15908.0,,,,19.96308503625577,,,,,,,0
