company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,roce_calculated,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow,cfo_quality_score,capex_intensity,fcf_conversion,capital_allocation_pattern
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,30.543933054393307,0.0,121.66666666666667,1.6175742574257426,728.0,6.0549019607843135,0.5284974093264249,2.854901960784314,Healthy Growth
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,28.69502523431867,0.0,199.0,1.40513068731849,152.0,1.108303249097473,0.504885993485342,0.5487364620938628,Healthy Growth
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,28.69502523431867,0.0,199.0,1.40513068731849,459.0,7.902527075812275,0.7903152124257652,1.6570397111913358,Healthy Growth
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,30.12948207171315,0.0,302.5,1.2509350561033663,242.0,1.1088888888888888,0.5150300601202404,0.5377777777777778,Healthy Growth
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,29.04834996162701,0.07198683669271905,84.11111111111111,1.153932901043135,225.0,1.0556492411467115,0.6405750798722045,0.3794266441821248,Healthy Growth
ABB,Mar 2021,16.03248259860789,21.392111368909514,26.5564950038432,33.46642468239565,0.058800922367409685,51.22222222222222,1.1223958333333333,655.0,1.0520984081041969,0.09903713892709766,0.9479015918958031,Healthy Growth
ABB,Mar 2022,16.26297577854671,22.023203745165887,28.333333333333332,36.4064602960969,0.05390070921985816,56.94736842105263,1.1631155303030303,552.0,1.1864831038798498,0.4177215189873418,0.690863579474343,Healthy Growth
ABB,Mar 2022,16.26297577854671,22.023203745165887,28.333333333333332,36.4064602960969,0.05390070921985816,56.94736842105263,1.1631155303030303,161.0,5.127659574468085,0.9607029533805224,0.20150187734668334,Healthy Growth
ABB,Mar 2024,20.533424517011454,24.84185330825782,32.46823465801568,38.41882601797991,0.022438496891051634,121.08333333333333,1.1263238975544,797.0,1.009991673605329,0.34295136026380874,0.6636136552872606,Healthy Growth
ABB,Mar 2024,20.533424517011454,24.84185330825782,32.46823465801568,38.41882601797991,0.022438496891051634,121.08333333333333,1.1263238975544,1095.0,5.027477102414655,0.8186485591255382,0.9117402164862615,Healthy Growth
ADANIENSOL,Mar 2016,16.773017319963536,87.83044667274385,13.77245508982036,17.118237541085545,3.2129491017964074,2.013584117032393,0.18678699131619275,728.0,4.195652173913044,0.5284974093264249,1.9782608695652173,Healthy Growth
ADANIENSOL,Mar 2017,14.464534075104313,68.94993045897078,14.116050220563285,16.633115249119275,3.045469969460468,2.1935840707964602,0.22449457497463118,459.0,5.262019230769231,0.7903152124257652,1.1033653846153846,Healthy Growth
ADANIENSOL,Mar 2022,10.978859477704743,37.360099484810796,12.46847573892868,10.563857842521662,3.016443054574801,1.7784355179704017,0.23719029158941513,161.0,3.3147249190938513,0.9607029533805224,0.1302588996763754,Healthy Growth
ADANIENSOL,Mar 2024,7.201782380923707,34.38911302462817,9.461276797721698,11.488402969161756,2.93252116130053,2.063968196602819,0.2836960606785336,1095.0,5.048494983277592,0.8186485591255382,0.9155518394648829,Healthy Growth
ADANIENT,Mar 2014,4.815549529546654,17.07645549347553,11.1377699204445,9.800808464856846,3.0298438355011155,1.6452744169735227,0.4652503767929417,221.0,3.109599395313681,0.9731404958677686,0.0835222978080121,Healthy Growth
ADANIENT,Mar 2016,2.9404845918607387,4.951776052693484,7.4749588877261175,5.174055980581928,1.4328748691882194,1.2409727339719971,0.8159504786583172,3287.0,5.112,0.35700312989045385,3.287,Healthy Growth
ADANIENT,Mar 2019,1.2531266252259838,4.876297085118502,3.429113580916238,7.57336820646948,0.7619273515857956,1.2116923076923076,0.9492900131653188,749.0,6.395256916996048,0.7685414091470952,1.4802371541501975,Healthy Growth
ADANIENT,Mar 2020,2.3961477317236133,5.285348939013432,6.136779370980115,7.811755090921474,0.7328140673865581,1.4592875318066159,0.9259306666666667,1372.0,2.3596153846153847,0.4409127954360228,1.3192307692307692,Healthy Growth
ADANIENT,Mar 2023,1.899012074643249,6.913909361768857,7.328068742246831,10.223649580874424,1.6096335965628876,2.2217183169564123,0.9027590990812441,2167.0,7.277456647398844,0.8770566209009418,0.8947151114781172,Healthy Growth
ADANIGREEN,Mar 2023,12.512860082304528,63.91460905349794,13.321467688937568,8.07775448177223,7.423740416210296,1.7073170731707317,0.11621754920862665,3408.0,7.466598150051388,0.5309015829318651,3.50256937307297,Healthy Growth
ADANIPORTS,Mar 2015,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,1.651277287505806,3.3208510638297875,0.19175861853999127,572.0,1.3154044750430292,0.8128884527314361,0.24612736660929432,Healthy Growth
ADANIPORTS,Mar 2015,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,1.651277287505806,3.3208510638297875,0.19175861853999127,572.0,1.3154044750430292,0.8128884527314361,0.24612736660929432,Healthy Growth
ADANIPORTS,Mar 2015,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,1.651277287505806,3.3208510638297875,0.19175861853999127,572.0,1.3154044750430292,0.8128884527314361,0.24612736660929432,Healthy Growth
ADANIPORTS,Mar 2015,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,1.651277287505806,3.3208510638297875,0.19175861853999127,572.0,1.3154044750430292,0.8128884527314361,0.24612736660929432,Healthy Growth
ADANIPORTS,Mar 2017,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,1.2674883030925481,4.854838709677419,0.19458599460444095,1434.0,1.0412608918503332,0.6470588235294118,0.3675038441824705,Healthy Growth
ADANIPORTS,Mar 2017,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,1.2674883030925481,4.854838709677419,0.19458599460444095,1434.0,1.0412608918503332,0.6470588235294118,0.3675038441824705,Healthy Growth
ADANIPORTS,Mar 2017,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,1.2674883030925481,4.854838709677419,0.19458599460444095,1434.0,1.0412608918503332,0.6470588235294118,0.3675038441824705,Healthy Growth
ADANIPORTS,Mar 2017,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,1.2674883030925481,4.854838709677419,0.19458599460444095,1434.0,1.0412608918503332,0.6470588235294118,0.3675038441824705,Healthy Growth
ADANIPORTS,Mar 2018,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,1.0701813136870306,4.532615579480684,0.23972646243092752,1762.0,1.5197831978319782,0.6858059914407989,0.4775067750677507,Healthy Growth
ADANIPORTS,Mar 2018,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,1.0701813136870306,4.532615579480684,0.23972646243092752,1762.0,1.5197831978319782,0.6858059914407989,0.4775067750677507,Healthy Growth
ADANIPORTS,Mar 2018,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,1.0701813136870306,4.532615579480684,0.23972646243092752,1762.0,1.5197831978319782,0.6858059914407989,0.4775067750677507,Healthy Growth
ADANIPORTS,Mar 2018,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,1.0701813136870306,4.532615579480684,0.23972646243092752,1762.0,1.5197831978319782,0.6858059914407989,0.4775067750677507,Healthy Growth
ADANIPORTS,Mar 2019,37.02517162471396,60.37528604118994,16.596914492040046,12.664157898778896,1.1370425077958313,4.76245487364621,0.19401182717408677,1661.0,1.4904820766378244,0.724498258417648,0.41063040791100125,Healthy Growth
ADANIPORTS,Mar 2019,37.02517162471396,60.37528604118994,16.596914492040046,12.664157898778896,1.1370425077958313,4.76245487364621,0.19401182717408677,1661.0,1.4904820766378244,0.724498258417648,0.41063040791100125,Healthy Growth
ADANIPORTS,Mar 2019,37.02517162471396,60.37528604118994,16.596914492040046,12.664157898778896,1.1370425077958313,4.76245487364621,0.19401182717408677,1661.0,1.4904820766378244,0.724498258417648,0.41063040791100125,Healthy Growth
ADANIPORTS,Mar 2019,37.02517162471396,60.37528604118994,16.596914492040046,12.664157898778896,1.1370425077958313,4.76245487364621,0.19401182717408677,1661.0,1.4904820766378244,0.724498258417648,0.41063040791100125,Healthy Growth
ADANIPORTS,Mar 2020,31.8790533142424,50.08843594710688,14.868209136976077,10.67703190362484,1.1879640177554307,3.0481804202972835,0.1917567065587803,6653.0,1.9556142668428005,0.1011888678735477,1.7577278731836194,Healthy Growth
ADANIPORTS,Mar 2020,31.8790533142424,50.08843594710688,14.868209136976077,10.67703190362484,1.1879640177554307,3.0481804202972835,0.1917567065587803,6653.0,1.9556142668428005,0.1011888678735477,1.7577278731836194,Healthy Growth
ADANIPORTS,Mar 2020,31.8790533142424,50.08843594710688,14.868209136976077,10.67703190362484,1.1879640177554307,3.0481804202972835,0.1917567065587803,6653.0,1.9556142668428005,0.1011888678735477,1.7577278731836194,Healthy Growth
ADANIPORTS,Mar 2020,31.8790533142424,50.08843594710688,14.868209136976077,10.67703190362484,1.1879640177554307,3.0481804202972835,0.1917567065587803,6653.0,1.9556142668428005,0.1011888678735477,1.7577278731836194,Healthy Growth
ADANIPORTS,Mar 2022,28.93276476429698,55.65745662713943,11.843332297171278,10.615446321137306,1.1461944955883407,3.7452830188679247,0.1741009681881051,4927.0,2.103775489602261,0.5271593090211133,0.994750656167979,Healthy Growth
ADANIPORTS,Mar 2022,28.93276476429698,55.65745662713943,11.843332297171278,10.615446321137306,1.1461944955883407,3.7452830188679247,0.1741009681881051,4927.0,2.103775489602261,0.5271593090211133,0.994750656167979,Healthy Growth
ADANIPORTS,Mar 2022,28.93276476429698,55.65745662713943,11.843332297171278,10.615446321137306,1.1461944955883407,3.7452830188679247,0.1741009681881051,4927.0,2.103775489602261,0.5271593090211133,0.994750656167979,Healthy Growth
ADANIPORTS,Mar 2022,28.93276476429698,55.65745662713943,11.843332297171278,10.615446321137306,1.1461944955883407,3.7452830188679247,0.1741009681881051,4927.0,2.103775489602261,0.5271593090211133,0.994750656167979,Healthy Growth
ADANIPORTS,Mar 2024,30.339560480700833,58.36172363445772,15.3548827162833,15.246263985603631,0.9373223691689719,5.7039882912550315,0.22830109659056916,8250.0,1.8531589338598222,0.45065920894926087,1.0180157946692991,Healthy Growth
ADANIPORTS,Mar 2024,30.339560480700833,58.36172363445772,15.3548827162833,15.246263985603631,0.9373223691689719,5.7039882912550315,0.22830109659056916,8250.0,1.8531589338598222,0.45065920894926087,1.0180157946692991,Healthy Growth
ADANIPORTS,Mar 2024,30.339560480700833,58.36172363445772,15.3548827162833,15.246263985603631,0.9373223691689719,5.7039882912550315,0.22830109659056916,8250.0,1.8531589338598222,0.45065920894926087,1.0180157946692991,Healthy Growth
ADANIPORTS,Mar 2024,30.339560480700833,58.36172363445772,15.3548827162833,15.246263985603631,0.9373223691689719,5.7039882912550315,0.22830109659056916,8250.0,1.8531589338598222,0.45065920894926087,1.0180157946692991,Healthy Growth
ADANIPORTS,Mar 2015,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,1.651277287505806,3.3208510638297875,0.19175861853999127,572.0,1.3154044750430292,0.8128884527314361,0.24612736660929432,Healthy Growth
ADANIPORTS,Mar 2015,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,1.651277287505806,3.3208510638297875,0.19175861853999127,572.0,1.3154044750430292,0.8128884527314361,0.24612736660929432,Healthy Growth
ADANIPORTS,Mar 2015,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,1.651277287505806,3.3208510638297875,0.19175861853999127,572.0,1.3154044750430292,0.8128884527314361,0.24612736660929432,Healthy Growth
ADANIPORTS,Mar 2015,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,1.651277287505806,3.3208510638297875,0.19175861853999127,572.0,1.3154044750430292,0.8128884527314361,0.24612736660929432,Healthy Growth
ADANIPORTS,Mar 2017,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,1.2674883030925481,4.854838709677419,0.19458599460444095,1434.0,1.0412608918503332,0.6470588235294118,0.3675038441824705,Healthy Growth
ADANIPORTS,Mar 2017,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,1.2674883030925481,4.854838709677419,0.19458599460444095,1434.0,1.0412608918503332,0.6470588235294118,0.3675038441824705,Healthy Growth
ADANIPORTS,Mar 2017,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,1.2674883030925481,4.854838709677419,0.19458599460444095,1434.0,1.0412608918503332,0.6470588235294118,0.3675038441824705,Healthy Growth
ADANIPORTS,Mar 2017,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,1.2674883030925481,4.854838709677419,0.19458599460444095,1434.0,1.0412608918503332,0.6470588235294118,0.3675038441824705,Healthy Growth
ADANIPORTS,Mar 2018,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,1.0701813136870306,4.532615579480684,0.23972646243092752,1762.0,1.5197831978319782,0.6858059914407989,0.4775067750677507,Healthy Growth
ADANIPORTS,Mar 2018,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,1.0701813136870306,4.532615579480684,0.23972646243092752,1762.0,1.5197831978319782,0.6858059914407989,0.4775067750677507,Healthy Growth
ADANIPORTS,Mar 2018,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,1.0701813136870306,4.532615579480684,0.23972646243092752,1762.0,1.5197831978319782,0.6858059914407989,0.4775067750677507,Healthy Growth
ADANIPORTS,Mar 2018,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,1.0701813136870306,4.532615579480684,0.23972646243092752,1762.0,1.5197831978319782,0.6858059914407989,0.4775067750677507,Healthy Growth
ADANIPORTS,Mar 2019,37.02517162471396,60.37528604118994,16.596914492040046,12.664157898778896,1.1370425077958313,4.76245487364621,0.19401182717408677,1661.0,1.4904820766378244,0.724498258417648,0.41063040791100125,Healthy Growth
ADANIPORTS,Mar 2019,37.02517162471396,60.37528604118994,16.596914492040046,12.664157898778896,1.1370425077958313,4.76245487364621,0.19401182717408677,1661.0,1.4904820766378244,0.724498258417648,0.41063040791100125,Healthy Growth
